FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,IMAGEURL
Jamie Mullarkey,"6' 0""",155 lbs.,"74""",Orthodox,"Aug 17, 1994",http://ufcstats.com/fighter-details/af9f42e6894047fc,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-12/MULLARKEY_JAMIE_L_09-09.png?itok=bRPx5PNZ
Jim Mullen,"6' 1""",215 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/1a49e0670dfaca31,
Pedro Munhoz,"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986",http://ufcstats.com/fighter-details/6bd02119599741a4,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-03/MUNHOZ_PEDRO_L_03-09.png?itok=0l14dtxt
Andre Muniz,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 17, 1990",http://ufcstats.com/fighter-details/886264a0c9f4ea5e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/MUNIZ_ANDRE_L_02-25.png?itok=Rn6HJbdk
Mark Munoz,"6' 0""",185 lbs.,"71""",Orthodox,"Feb 09, 1978",http://ufcstats.com/fighter-details/179f1948dc234f1f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68712/profile-galery/fullbodyleft-picture/Mark-Munoz_916_LeftFullBodyImage.png?VersionId=jAUQE3coTwcztB9eG8Y1N06ccISRQ_TJ&itok=DD3SV3cr
Alexander Munoz,"5' 9""",155 lbs.,"72""",Switch,"Feb 27, 1990",http://ufcstats.com/fighter-details/f8f1ec513bcfef43,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/MUNOZ_ALEXANDER_L_07-15.png?itok=VdSQECTu
Johnny Munoz,"5' 9""",135 lbs.,"71""",Orthodox,"Feb 16, 1993",http://ufcstats.com/fighter-details/f6bcbd91b114ff58,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/71685%252Fprofile-galery%252Ffullbodyleft-picture%252FMUNOZ_JOHNNY_L_08-07.png?itok=95Tj-r9z
Andy Murad,"5' 9""",185 lbs.,--,,--,http://ufcstats.com/fighter-details/fd0b4e3eb18eafb7,
Olivier Murad,"5' 10""",145 lbs.,"72""",Southpaw,"Dec 21, 1993",http://ufcstats.com/fighter-details/c3dd69333eb8085a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-10/84831%252Fprofile-galery%252Ffullbodyright-picture%252FMURAD_OLIVIER_R.png?itok=K6yEdu8G
Makhmud Muradov,"6' 2""",185 lbs.,"75""",Orthodox,"Feb 08, 1990",http://ufcstats.com/fighter-details/ea7e5bc78d9de658,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/MURADOV_MAKHMUD_L_07-22.png?itok=SZu-pc_B
Kazunari Murakami,"6' 1""",220 lbs.,--,Orthodox,"Nov 29, 1973",http://ufcstats.com/fighter-details/cfbccfed4e4796fe,
Ryuichi Murata,"5' 8""",183 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/e3a6c6d6d0ac0815,
Kanako Murata,"5' 1""",115 lbs.,"62""",Orthodox,"Aug 10, 1993",http://ufcstats.com/fighter-details/e0b0cf71e0d69dd0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-06/71616%252Fprofile-galery%252Ffullbodyleft-picture%252FMURATA_KANAKO_L_06-19.png?itok=SAdxibD6
Vince Murdock,"5' 6""",145 lbs.,"64""",Orthodox,"Mar 21, 1991",http://ufcstats.com/fighter-details/4b90384d7c3519b8,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69462/profile-galery/fullbodyleft-picture/MURDOCK_VINCE_L.png?itok=_oWrdSu9
Tom Murphy,"6' 2""",227 lbs.,--,Southpaw,"Nov 19, 1974",http://ufcstats.com/fighter-details/62918a2118de08b2,
Ian Murphy,"6' 1""",185 lbs.,--,Orthodox,"Jun 14, 1985",http://ufcstats.com/fighter-details/de25520d54eab12d,
Jon Murphy,"6' 3""",260 lbs.,--,Orthodox,"Aug 09, 1977",http://ufcstats.com/fighter-details/1b5c146ee7b86e34,
Lauren Murphy,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1983",http://ufcstats.com/fighter-details/729d4bd5a6cd0a97,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/MURPHY_LAUREN_L_01-19.png?itok=Hs7WZu6o
Patrick Murphy,"6' 0""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/eca7e064746c161a,
Lerone Murphy,"5' 9""",145 lbs.,"73""",Orthodox,"Jul 22, 1991",http://ufcstats.com/fighter-details/396fe87b84ac2e1c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/MURPHY_LERONE_L_07-22.png?itok=u5FTDMxR
Lee Murray,"6' 3""",185 lbs.,--,Orthodox,"Sep 12, 1977",http://ufcstats.com/fighter-details/32016899d0a222a3,
Jesse Murray,"6' 3""",205 lbs.,"78""",Orthodox,"Jan 26, 1993",http://ufcstats.com/fighter-details/d0147e906106cd2e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-10/71852%252Fprofile-galery%252Ffullbodyright-picture%252FMURRAY_JESSE_R.png?itok=T17YpNIK
Khalid Murtazaliev,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 15, 1993",http://ufcstats.com/fighter-details/231cae8b77fbbcc1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2018-10/MURTAZALIEV_KHALID_L_0.png?VersionId=2RoFXc4Ovtjsnxua_00ZCbeOPq0M3d7K&itok=-tnjsxAz
Azamat Murzakanov,"5' 10""",225 lbs.,"71""",Southpaw,"Apr 12, 1989",http://ufcstats.com/fighter-details/e90a2f22417af68e,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/MURZAKANOV_AZAMAT_L_04-15.png?itok=dbUMoyYu
Nicholas Musoke,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 05, 1986",http://ufcstats.com/fighter-details/8b5f9ea38184ded3,
Andre Mussi,"6' 3""",242 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/d0d43cb9b14f231c,
Magomed Mustafaev,"5' 8""",155 lbs.,"71""",Orthodox,"Aug 02, 1988",http://ufcstats.com/fighter-details/31d7446b184e3305,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-11/68647%252Fprofile-galery%252Ffullbodyleft-picture%252FMUSTAFAEV_MAGOMED_L_10-30.png?itok=ULGBxTCU
Max Mustaki,"6' 0""",155 lbs.,--,Orthodox,"Nov 07, 1987",http://ufcstats.com/fighter-details/f4c40f8a64d3151d,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/25540eb8-540a-4619-bb32-1a2386836386%252FMUSTAKI_MAX_R.png?itok=axDXxga5
Elvis Mutapcic,"6' 0""",185 lbs.,"72""",Orthodox,"Jul 19, 1986",http://ufcstats.com/fighter-details/28c55b4087a6f136,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/f85c845e-1841-418d-a8e1-b0efdb95ab37%252FElvis-Mutapcic_576508_LeftFullBodyImage.png?itok=Ax5gxM-0
Fiona Muxlow,"5' 4""",145 lbs.,--,,"May 13, 1977",http://ufcstats.com/fighter-details/062e57ca1a3c95a8,
Ho Bae Myeon,"5' 11""",168 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/2719f300b0439039,
Na Liang,"5' 5""",115 lbs.,"67""",Orthodox,"Jul 27, 1996",http://ufcstats.com/fighter-details/ec0dcceace7d25a3,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-08/NA_LIANG_R_06-11.png?itok=1_upjIFy
Katsuhiko Nagata,"5' 7""",154 lbs.,--,Southpaw,"Oct 31, 1973",http://ufcstats.com/fighter-details/d5ae8074631762fc,
Yuji Nagata,"6' 0""",225 lbs.,--,Orthodox,"Apr 24, 1968",http://ufcstats.com/fighter-details/e49c2db95e572dc8,
Greg Nagy,"6' 1""",210 lbs.,--,Orthodox,"Oct 18, 1983",http://ufcstats.com/fighter-details/342422bb6ced1e8d,
Logan Nail,--,185 lbs.,--,,"Jun 20, 1989",http://ufcstats.com/fighter-details/47e0b5833e6bc91a,
Muhammad Naimov,"5' 9""",145 lbs.,"70""",Orthodox,"Aug 07, 1994",http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/NAIMOV_MUHAMMAD_L_06-03.png?itok=SPdRXwqB
Yukiya Naito,"6' 1""",205 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/7be328bb3c2ea22e,
Andrews Nakahara,"6' 1""",185 lbs.,--,Orthodox,"Mar 12, 1983",http://ufcstats.com/fighter-details/7a9ca95a92d7b64c,
Rin Nakai,"5' 1""",135 lbs.,--,Orthodox,"Oct 22, 1986",http://ufcstats.com/fighter-details/f9ae6914f604aa9f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/7bbeda70-869b-4250-8c6d-4900f98638d9%252FRin-Nakai_486128_LeftFullBodyImage.png?itok=a6QUfowK
Kazuhiro Nakamura,"5' 11""",205 lbs.,"70""",Orthodox,"Jul 16, 1979",http://ufcstats.com/fighter-details/b034747dc1d15491,
Keita Nakamura,"5' 11""",170 lbs.,"73""",Southpaw,"May 22, 1984",http://ufcstats.com/fighter-details/65ddc8a9ac4e8531,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68467/profile-galery/fullbodyleft-picture/NAKAMURA_KEITA_L.png?itok=d7cAeCnr
Daisuke Nakamura,"5' 7""",154 lbs.,--,Orthodox,"Jun 10, 1980",http://ufcstats.com/fighter-details/a196332ee4aa8a82,
Yusaku Nakamura,"5' 5""",145 lbs.,--,,"Jun 21, 1986",http://ufcstats.com/fighter-details/03e8df49c4a059ba,
Jutaro Nakao,"5' 9""",170 lbs.,--,Southpaw,"Nov 30, 1970",http://ufcstats.com/fighter-details/95eb112a85601a0a,
Yoshihiro Nakao,"6' 0""",220 lbs.,--,Southpaw,"Jun 25, 1972",http://ufcstats.com/fighter-details/e18012194473e8b0,
Yui Chul Nam,"5' 9""",145 lbs.,--,Orthodox,"Jul 16, 1981",http://ufcstats.com/fighter-details/a00ec21cfbba17b6,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/e9943f22-5da4-486d-b7c1-2272e2c703db%252FYui-Chul-Nam_466030_LeftFullBodyImage.png?itok=tsk-1YVb
Tyson Nam,"5' 7""",125 lbs.,"68""",Orthodox,"Oct 06, 1983",http://ufcstats.com/fighter-details/6e00cfffd54653c4,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/NAM_TYSON_L_07-15.png?itok=ZtISSJO0
Rose Namajunas,"5' 5""",115 lbs.,"65""",Orthodox,"Jun 29, 1992",http://ufcstats.com/fighter-details/47b63240018d5d86,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-04/NAMAJUNAS_ROSE_L_03-23.png?itok=M6Lb2LXY
Yasuhito Namekawa,"5' 9""",205 lbs.,--,Orthodox,"Oct 27, 1974",http://ufcstats.com/fighter-details/6083f497c22cc075,
Nad Narimani,"5' 8""",145 lbs.,"70""",Orthodox,"Apr 14, 1987",http://ufcstats.com/fighter-details/776a58a67665a171,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-07/NARIMANI_NAD_L_07-22.png?VersionId=gd0XYUxAOr7O4vi1fHEwRB297_vs.VaE&itok=ouc3VHFW
Roger Narvaez,"6' 3""",185 lbs.,--,Southpaw,"Sep 09, 1983",http://ufcstats.com/fighter-details/3a12a2f096a6d975,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/ef5590d7-5034-47bb-8525-016e7dbb1eb3%252FRoger-Narvaez_486262_LeftFullBodyImage.png?itok=XBjKo15q
Fabio Nascimento,"5' 10""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/307064d3e0f036c2,
Allan Nascimento,"5' 8""",125 lbs.,"69""",Orthodox,"Sep 11, 1991",http://ufcstats.com/fighter-details/253076a23d03dcd0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/NASCIMENTO_ALLAN_L_01-14.png?itok=tp6_5hmh
Rodrigo Nascimento,"6' 2""",246 lbs.,"80""",Orthodox,"Nov 26, 1992",http://ufcstats.com/fighter-details/d31a5546c0e9b213,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-11/NASCIMENTO_RODRIGO_L_11-04.png?itok=kQMqR6pl
Bobby Nash,"6' 0""",170 lbs.,"74""",Orthodox,"Mar 26, 1990",http://ufcstats.com/fighter-details/7dfb56f24fe5ddea,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/c61d1fce-d089-4848-8a0d-6654e7e8abd8%252Fbobby-nash_616674_LeftFullBodyImage.png?itok=_IM_5b9I
Reza Nasri,"5' 11""",205 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/d41937647eae9a34,
Nasrudin Nasrudinov,"6' 0""",205 lbs.,"71""",Orthodox,"Oct 06, 1991",http://ufcstats.com/fighter-details/769fa803bf9d2e3b,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-09/71767%252Fprofile-galery%252Ffullbodyright-picture%252FNASRUDINOV_NASRUDIN_R.png?itok=psvJ0dcK
Pawel Nastula,"6' 0""",230 lbs.,--,Southpaw,"Jun 26, 1970",http://ufcstats.com/fighter-details/154a6b3ffae264cd,
Rafael Natal,"6' 0""",185 lbs.,"77""",Orthodox,"Dec 25, 1982",http://ufcstats.com/fighter-details/0dba4df5f34d5ff0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69034/profile-galery/fullbodyleft-picture/rafael-natal_13184_LeftFullBodyImage.png?VersionId=jpxF0zPgNSsIs_O2PGmAyN4.ENyeefMN&itok=BkvJ-ln4
Kevin Natividad,"5' 6""",145 lbs.,"70""",Orthodox,"Apr 02, 1993",http://ufcstats.com/fighter-details/0c258d1d8e16e5f1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/NATIVIDAD_KEVIN_L.png?itok=O3D7HQEd
Ismail Naurdiev,"5' 10""",170 lbs.,"74""",Orthodox,"Aug 18, 1996",http://ufcstats.com/fighter-details/6a96ad1bc34fb113,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68128/profile-galery/fullbodyleft-picture/NAURDIEV_ISMAIL_L.png?VersionId=oWsUMSol8SIpLwJOc58YmFyldhRguw8c&itok=2XPMu_5n
Danny Navarro,"5' 10""",155 lbs.,--,,"May 27, 1983",http://ufcstats.com/fighter-details/618f72750ec50b05,
Marcio Navarro,"6' 0""",155 lbs.,--,,"Sep 17, 1978",http://ufcstats.com/fighter-details/52f7d300738961ac,
Tafon Nchukwi,"6' 0""",205 lbs.,"77""",Orthodox,"Oct 14, 1994",http://ufcstats.com/fighter-details/6aae253467e8f9ce,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/71605%252Fprofile-galery%252Ffullbodyleft-picture%252FNCHUKWI_TAFON_L_05-08.png?itok=6WLUqRKj
Dustin Neace,"5' 9""",145 lbs.,--,,"Sep 12, 1986",http://ufcstats.com/fighter-details/e503aa5c252a1b4d,
Josh Neal,"6' 0""",185 lbs.,--,,--,http://ufcstats.com/fighter-details/0b534765dca35e71,
Joe Neal,"5' 6""",135 lbs.,--,,"Jul 29, 1986",http://ufcstats.com/fighter-details/5751267660c734cb,
Geoff Neal,"5' 11""",170 lbs.,"75""",Southpaw,"Aug 28, 1990",http://ufcstats.com/fighter-details/b997be68943010fc,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/NEAL_GEOFF_L_02-17.png?itok=d40hzoSs
Stanislav Nedkov,"5' 11""",205 lbs.,"71""",Orthodox,"Dec 09, 1981",http://ufcstats.com/fighter-details/1d4bbaabd8b60173,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Stanislav_Nedkov/StanislavNedkov_BlueCornerV2.png?VersionId=kshmk3mWewdyRXaj8q3X5aOe.8CAG_fm&itok=2qeb90CC
Josh Neer,"5' 11""",170 lbs.,"72""",Orthodox,"Mar 24, 1983",http://ufcstats.com/fighter-details/d1a1314976c50bef,
Nicolae Negumereanu,"6' 0""",205 lbs.,"78""",Orthodox,"Sep 04, 1994",http://ufcstats.com/fighter-details/8c57c7b8c3bab0eb,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-06/71457%252Fprofile-galery%252Ffullbodyleft-picture%252FNEGUMEREANU_NICOLAE_L_06-19.png?itok=sKxexmCQ
Steve Nelmark,"6' 0""",240 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/13e62d766b709aa6,
Shane Nelson,"5' 9""",155 lbs.,"70""",Southpaw,"Nov 29, 1984",http://ufcstats.com/fighter-details/2db7fa8db6bc9632,
Roy Nelson,"6' 0""",263 lbs.,"73""",Orthodox,"Jun 20, 1976",http://ufcstats.com/fighter-details/3f7c14c7eca7195d,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/edc4dc56-2c21-4213-9ec8-68e2bb2046a4%252FRoy-Nelson_1110_LeftFullBodyImage.png?itok=WeC8abqb
Gunnar Nelson,"5' 11""",170 lbs.,"72""",Switch,"Jul 28, 1988",http://ufcstats.com/fighter-details/fd55393021a8c255,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/NELSON_GUNNAR_L_03-18.png?itok=_usckJU4
Kyle Nelson,"5' 11""",155 lbs.,"71""",Switch,"Apr 20, 1991",http://ufcstats.com/fighter-details/31f8081c7600da93,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/NELSON_KYLE_L_06-10.png?itok=5YSNurfk
Lissette Neri,"5' 2""",145 lbs.,--,,"Aug 05, 1987",http://ufcstats.com/fighter-details/f4db63258ecf0613,
Mario Neto,"6' 0""",229 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/1209b5134401ca53,
Antonio Braga Neto,"6' 3""",185 lbs.,"77""",Orthodox,"Oct 29, 1987",http://ufcstats.com/fighter-details/fae67903c4fe636b,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67382/profile-galery/fullbodyleft-picture/Antonio-Braga-Neto_309271_LeftFullBodyImage.png?VersionId=iv2g5hwXuXZYiDMHqbF6qQMOE9puskfo&itok=9xxrPHKp
Julio Cesar Neves Jr.,"5' 8""",145 lbs.,--,,"Apr 25, 1994",http://ufcstats.com/fighter-details/195d0d3e14a2e256,
Nick Newell,"5' 10""",155 lbs.,--,Southpaw,"Mar 17, 1986",http://ufcstats.com/fighter-details/f562238becb9ec50,
Journey Newson,"5' 5""",135 lbs.,"67""",Orthodox,"Mar 07, 1989",http://ufcstats.com/fighter-details/78f485f851891d68,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-06/NEWSON_JOURNEY_L_05-07.png?itok=7olM43z9
Jeff Newton,"6' 2""",205 lbs.,--,Sideways,"Dec 11, 1966",http://ufcstats.com/fighter-details/94609dd91731d428,
Carlos Newton,"5' 9""",170 lbs.,--,Orthodox,"Aug 17, 1976",http://ufcstats.com/fighter-details/952f6fa06f25a0ec,
Emanuel Newton,"6' 1""",205 lbs.,--,,"Jan 02, 1984",http://ufcstats.com/fighter-details/fbbbc68d368832fa,
Francis Ngannou,"6' 4""",250 lbs.,"83""",Orthodox,"Sep 05, 1986",http://ufcstats.com/fighter-details/8d03ce87ca14e778,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/NGANNOU_FRANCIS_L_03-27.png?itok=s4MVBS7x
Ben Nguyen,"5' 5""",125 lbs.,"65""",Switch,"Aug 03, 1988",http://ufcstats.com/fighter-details/840d2c82ea68b9aa,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Ben_Nguyen/NGUYEN_BEN_L.png?itok=CrQPN3ZA
Steven Nguyen,"5' 11""",145 lbs.,"73""",Switch,"May 19, 1993",http://ufcstats.com/fighter-details/69037fc7730e4225,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-03/NGUYEN_STEVEN_L_09-12.png?itok=AL3ifD5F
Alex Nicholson,"6' 4""",185 lbs.,"77""",Orthodox,"May 02, 1990",http://ufcstats.com/fighter-details/2b6d855c6e280fb1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/alex-nicholson_575996_LeftFullBodyImage.png?itok=r2Yzemq9
Mike Nickels,"6' 4""",205 lbs.,--,Orthodox,"Dec 13, 1971",http://ufcstats.com/fighter-details/330ec26453c44a59,
Matheus Nicolau,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 06, 1993",http://ufcstats.com/fighter-details/1a31ef98efce7a79,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/NICOLAU_MATHEUS_L_01-13.png?itok=UjdZVGtQ
Jaimelene Nievera,"5' 5""",125 lbs.,--,Orthodox,"Oct 28, 1984",http://ufcstats.com/fighter-details/3edf45e1717fa764,
Khomkrit Niimi,"5' 2""",125 lbs.,--,,--,http://ufcstats.com/fighter-details/52a003d768f10d91,
Tom Niinimaki,"5' 9""",145 lbs.,"69""",Orthodox,"Jul 25, 1982",http://ufcstats.com/fighter-details/5fceb45939fc0c8a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Tom_Niinimaki/Tom-Niinimaki-2013-11-27-047.png?VersionId=sAyaZ2siBGlMgK_OQdU4bzMJc9YLpSY6&itok=Cvp6BCFD
Ramsey Nijem,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 01, 1988",http://ufcstats.com/fighter-details/22aa91e402d0fe1f,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/7e4e3757-374a-46d1-93f1-0556771ebb9c%252FRamsey-Nijem_144964_LeftFullBodyImage.png?itok=A6UL4_h6
Hans Nijman,"6' 0""",250 lbs.,--,Switch,"Oct 23, 1959",http://ufcstats.com/fighter-details/4956f60b7fa57c1a,
Jack Nilson,--,--,--,,--,http://ufcstats.com/fighter-details/53e533db1b8e9712,
Mats Nilsson,"6' 1""",170 lbs.,--,Orthodox,"Dec 05, 1983",http://ufcstats.com/fighter-details/a9bcf8717dd12532,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68752/profile-galery/fullbodyleft-picture/Mats-Nilsson_466134_LeftFullBodyImage.png?VersionId=zIwQoooDVNbe66PEBvEQGgheLG1JSz0R&itok=x6Rl_tMI
Guangyou Ning,"5' 4""",145 lbs.,"64""",Southpaw,"Dec 15, 1981",http://ufcstats.com/fighter-details/2c1170b825f58e57,
Soichi Nishida,"5' 11""",320 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/6810d8d2dd557cf9,
Yosuke Nishijima,"5' 9""",205 lbs.,--,Orthodox,"May 15, 1973",http://ufcstats.com/fighter-details/5cde96e0a1a1fffe,
Akiyo Nishiura,"5' 8""",139 lbs.,--,Southpaw,"Aug 08, 1983",http://ufcstats.com/fighter-details/6c9383ffab2725a5,
Anthony Njokuani,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 01, 1980",http://ufcstats.com/fighter-details/6bf5a7d3e081ade2,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/f9c60486-80de-4ebb-a65f-8250899d2172%252FAnthony-Njokuani_1008_LeftFullBodyImage.png?itok=NAOGgfey
Chidi Njokuani,"6' 3""",185 lbs.,"80""",Orthodox,"Dec 31, 1988",http://ufcstats.com/fighter-details/c68c68efaa5ca6ef,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-08/NJOKUANI_CHIDI_L.png?itok=qrXqI-dZ
Derrick Noble,"5' 9""",170 lbs.,--,Southpaw,"Aug 14, 1978",http://ufcstats.com/fighter-details/21321cdfba797c52,
Kyle Noblitt,"6' 2""",243 lbs.,--,,"Dec 26, 1989",http://ufcstats.com/fighter-details/4acf03bdec2025d7,
Pedro Nobre,"5' 5""",135 lbs.,--,,"Feb 13, 1986",http://ufcstats.com/fighter-details/e983c62faf677ab2,
Jacob Noe,--,205 lbs.,--,,--,http://ufcstats.com/fighter-details/9bff1b4c37ebbede,
Antonio Rodrigo Nogueira,"6' 3""",240 lbs.,"77""",Orthodox,"Jun 02, 1976",http://ufcstats.com/fighter-details/ee9d73f4fee9cbdd,
Rogerio Nogueira,"6' 2""",205 lbs.,"75""",Southpaw,"Jun 02, 1976",http://ufcstats.com/fighter-details/73e09f837f3b5ecc,
Alexandre Franca Nogueira,"5' 7""",145 lbs.,--,Orthodox,"Jan 15, 1978",http://ufcstats.com/fighter-details/4c27ca8c8481f79a,
Talita Nogueira,"5' 10""",145 lbs.,--,,"Oct 13, 1985",http://ufcstats.com/fighter-details/a3d1d060f9af97fe,
Kyle Noke,"6' 1""",170 lbs.,"76""",Southpaw,"Mar 18, 1980",http://ufcstats.com/fighter-details/7339d340aa2889cb,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68531/profile-galery/fullbodyleft-picture/Kyle-Noke_1181_LeftFullBodyImage.png?VersionId=dUDcVtLShDLOf_HxsZeIPkOdV87EovoF&itok=kFlWzpxH
Nick Nolte,"6' 0""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/d665de9b4da87c22,
KJ Noons,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 07, 1982",http://ufcstats.com/fighter-details/b7ffa72aa148599a,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/32936dfb-068b-4fdc-a3eb-4e5c0c75faae%252FKJ-Noons_241941_LeftFullBodyImage.png?itok=MjWhnn6i
Sage Northcutt,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 01, 1996",http://ufcstats.com/fighter-details/ed9d8ee3a4239b1c,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69188/profile-galery/fullbodyleft-picture/sage-northcutt_545279_LeftFullBodyImage.png?itok=V6Jr_gkH
Jan Nortje,"6' 1""",310 lbs.,--,Southpaw,"Apr 11, 1975",http://ufcstats.com/fighter-details/bd4389b71fdc0ce2,
Scott Norton,"5' 10""",170 lbs.,--,Orthodox,"Mar 15, 1973",http://ufcstats.com/fighter-details/f21a3d68fb9df387,
Jonatas Novaes,"5' 11""",170 lbs.,--,,"Mar 02, 1981",http://ufcstats.com/fighter-details/9e8e5c529057fe60,
